ID,Company Name,Website,Sub-Domain,
2,Chandago,chandago.com,appconsent.mgr.consensu.org,
3,Faktor BV,faktor.io,faktor.mgr.consensu.org,
5,Usercentrics GmbH,usercentrics.com,usercentrics.mgr.consensu.org,
6,"Sourcepoint Technologies, Inc.",sourcepoint.com,sourcepoint.mgr.consensu.org
7,Didomi,https://www.didomi.io/en/,didomi.mgr.consensu.org,
8,Baycloud Systems Limited,baycloud.com,consenthub.mgr.consensu.org,
9,Admiral,getadmiral.com,admiral.mgr.consensu.org,
10,Quantcast International Limited,quantcast.com,quantcast.mgr.consensu.org,
11,Sovrn Holdings Ince,sovrn.com,Sovrn.mgr.consensu.org,
12,Germantag Web Services,germantag.de,germantag.mgr.consensu.org,
13,Databoxer Limited,databoxer.com,databoxer.mgr.consensu.org,
14,Oath (EMEA) Limited,https://www.oath.com/insights/oath-and-gdpr/,oath.mgr.consensu.org,
15,"Cookie Trust Working Group, Inc.",http://www.digitru.st/,digitrust.mgr.consensu.org
18,"Evidon, Inc",evidon.com,evidon.mgr.consensu.org
19,Adform A/S,adform.com,adform.com,
20,Skimbit Ltd,skimlinks.com,skimlinks.mgr.consensu.org,
21,Traffective GmbH,traffective.com,traffective.mgr.consensu.org,
23,Conversant Europe Ltd.,https://www.conversantmedia.eu/,conversant.mgr.consensu.org,
25,"ShareThis, Inc.",sharethis.com,sharethis.mgr.consensu.org
26,"Predesto, Inc.",http://www.predesto.com/,predesto.mgr.consensu.org
27,Associated Newspapers Ltd,https://www.dmgmedia.co.uk/,dmgmedia.mgr.consensu.org,
28,OneTrust LLC,onetrust.com,onetrust.mgr.consensu.org,
29,Captify Technologies Limited,captify.co.uk,captify.mgr.consensu.org,
30,Rich Audience International SL,richaudience.com,richaudience.mgr.consensu.org,
31,consentmanager.net ,consentmanager.net,consentmanager.mgr.consensu.org,
32,Unveilmedia Ltd,unveilmedia.com,UnveilMedia.mgr.consensu.org,
33,Smart Adserver,smartadserver.com,smartadserver.mgr.consensu.org,
34,Acxiom Corporation,https://www.acxiom.com/,acxiomcmp.mgr.consensu.org,
35,BurdaForward GmbH,burda-forward.de,burdaforward.mgr.consensu.org,
36,RTB House S.A.,rtbhouse.com,rtbhouse.mgr.consensu.org,
37,Vibrant Media Limited,https://www.vibrantmedia.com/,vibrant.mgr.consensu.org,
38,System1 LLC,system1.com,system1.mgr.consensu.org,
39,Sortable,sortable.com,sortable.mgr.consensu.org,
40,"Purch Group, Inc.",purch.com,purch.mgr.consensu.org
41,"Grupa Netsprint Sp z o.o.,https://netsprint.group/,netsprintgroup.mgr.consensu.org
43,Crimtan Holdings Limited,crimtan.com,consenTag.mgr.consensu.org,
44,Madvertise Media,http://madvertise.com/en/,madvertise.mgr.consensu.org,
45,Ogury Ltd,https://www.ogury.com/,ogury.mgr.consensu.org,
46,"Mediavine, Inc.",https://www.mediavine.com/,mediavine.mgr.consensu.org
